StateName,StateCode
Mississippi,MS
Oklahoma,OK
Delaware,DE
Minnesota,MN
Illinois,IL
Arkansas,AR
New Mexico,NM
Indiana,IN
Louisiana,LA
Texas,TX
Wisconsin,WI
Kansas,KS
Connecticut,CT
California,CA
West Virginia,WV
Georgia,GA
North Dakota,ND
Pennsylvania,PA
Alaska,AK
Missouri,MO
South Dakota,SD
Colorado,CO
New Jersey,NJ
Washington,WA
New York,NY
Nevada,NV
Maryland,MD
Idaho,ID
Wyoming,WY
Arizona,AZ
Iowa,IA
Michigan,MI
Utah,UT
Virginia,VA
Oregon,OR
Montana,MT
New Hampshire,NH
Massachusetts,MA
South Carolina,SC
Vermont,VT
Florida,FL
Hawaii,HI
Kentucky,KY
Rhode Island,RI
Nebraska,NE
Ohio,OH
Alabama,AL
North Carolina,NC
Tennessee,TN
Maine,ME