StateCode,Region
WA,Pacific
DE,South Atlantic
DC,South Atlantic
WI,East North Central
WV,South Atlantic
HI,Pacific
FL,South Atlantic
WY,Mountain
NH,New England
NJ,Middle Atlantic
NM,Mountain
TX,West South Central
LA,West South Central
NC,South Atlantic
ND,West North Central
NE,West North Central
TN,East South Central
NY,Middle Atlantic
PA,Middle Atlantic
RI,New England
NV,Mountain
VA,South Atlantic
CO,Mountain
AK,Pacific
AL,East South Central
AR,West South Central
VT,New England
IL,East North Central
GA,South Atlantic
IN,East North Central
IA,West North Central
MA,New England
AZ,Mountain
CA,Pacific
ID,Mountain
CT,New England
ME,New England
MD,South Atlantic
OK,West South Central
OH,East North Central
UT,Mountain
MO,West North Central
MN,West North Central
MI,East North Central
KS,West North Central
MT,Mountain
MS,East South Central
SC,South Atlantic
KY,East South Central
OR,Pacific
SD,West North Central